214#10#Asignado#TELEFÓNICA DE ESPAÑA, S.A. UNIPERSONAL#01/01/1990
214#11#Asignado#TELEFÓNICA DE ESPAÑA, S.A. UNIPERSONAL#01/01/1990
214#12#Asignado#TELEFÓNICA DE ESPAÑA, S.A. UNIPERSONAL#01/01/1990
214#13#Asignado#TELEFÓNICA DE ESPAÑA, S.A. UNIPERSONAL#01/01/1990
214#14#Asignado#TELEFÓNICA DE ESPAÑA, S.A. UNIPERSONAL#01/01/1990
214#15#Asignado#TELEFÓNICA DE ESPAÑA, S.A. UNIPERSONAL#01/01/1990
214#16#Asignado#TELEFÓNICA DE ESPAÑA, S.A. UNIPERSONAL#01/01/1990
214#17#Asignado#TELEFÓNICA DE ESPAÑA, S.A. UNIPERSONAL#01/01/1990
214#18#Asignado#TELEFÓNICA DE ESPAÑA, S.A. UNIPERSONAL#01/01/1990
214#19#Asignado#TELEFÓNICA DE ESPAÑA, S.A. UNIPERSONAL#01/01/1990
214#40#Asignado#ORANGE ESPAGNE, S.A. UNIPERSONAL#10/03/2016
215#50#Asignado#TELEFÓNICA DE ESPAÑA, S.A. UNIPERSONAL#01/01/1990
215#51#Asignado#TELEFÓNICA DE ESPAÑA, S.A. UNIPERSONAL#01/01/1990
215#52#Asignado#TELEFÓNICA DE ESPAÑA, S.A. UNIPERSONAL#01/01/1990
215#53#Asignado#TELEFÓNICA DE ESPAÑA, S.A. UNIPERSONAL#01/01/1990
215#54#Asignado#TELEFÓNICA DE ESPAÑA, S.A. UNIPERSONAL#01/01/1990
215#55#Asignado#TELEFÓNICA DE ESPAÑA, S.A. UNIPERSONAL#01/01/1990
215#56#Asignado#TELEFÓNICA DE ESPAÑA, S.A. UNIPERSONAL#01/01/1990
215#57#Asignado#TELEFÓNICA DE ESPAÑA, S.A. UNIPERSONAL#01/01/1990
215#58#Asignado#TELEFÓNICA DE ESPAÑA, S.A. UNIPERSONAL#01/01/1990
215#59#Asignado#TELEFÓNICA DE ESPAÑA, S.A. UNIPERSONAL#01/01/1990
