2-027#0#Asignado#GRUPALIA INTERNET, S.A.#21/03/2002
2-027#1#Compartido#ENTIDAD PÚBLICA EMPRESARIAL ADIF-ALTA VELOCIDAD#08/08/2018
2-027#1#Asignado#ENTIDAD PÚBLICA EMPRESARIAL ADMINISTRADOR DE INFRAESTRUCTURAS FERROVIARIAS#08/08/2018
2-027#2#Compartido#ENTIDAD PÚBLICA EMPRESARIAL ADIF-ALTA VELOCIDAD#08/08/2018
2-027#2#Asignado#ENTIDAD PÚBLICA EMPRESARIAL ADMINISTRADOR DE INFRAESTRUCTURAS FERROVIARIAS#08/08/2018
2-027#3#Asignado#SYMA MOBILE ESPAÑA, S.L.#21/04/2020
2-027#4#Asignado#SYMA MOBILE ESPAÑA, S.L.#21/04/2020
2-027#5#Asignado#VODAFONE ENABLER ESPAÑA, S.L.#20/01/2010
2-027#6#Asignado#VODAFONE ENABLER ESPAÑA, S.L.#20/01/2010
2-027#7#Asignado#XTRA TELECOM, S.A.UNIPERSONAL#02/12/2015
2-028#7#Asignado#ADAMO TELECOM IBERIA, S.A.#20/07/2011
2-029#0#Asignado#VODAFONE ESPAÑA, S.A. UNIPERSONAL#13/12/2002
2-029#1#Asignado#VODAFONE ESPAÑA, S.A. UNIPERSONAL#13/12/2002
2-029#4#Asignado#VODAFONE ONO, S.A. UNIPERSONAL#15/12/1997
2-029#5#Asignado#VODAFONE ONO, S.A. UNIPERSONAL#15/12/1997
2-029#6#Asignado#VODAFONE ESPAÑA, S.A. UNIPERSONAL#26/02/1998
2-029#7#Asignado#VODAFONE ESPAÑA, S.A. UNIPERSONAL#26/02/1998
2-030#0#Asignado#ORANGE ESPAGNE, S.A. UNIPERSONAL#10/03/2016
2-030#1#Asignado#ORANGE ESPAGNE, S.A. UNIPERSONAL#10/03/2016
2-030#6#Asignado#ORANGE ESPAGNE, S.A. UNIPERSONAL#12/11/1998
2-030#7#Asignado#ORANGE ESPAGNE, S.A. UNIPERSONAL#12/11/1998
2-031#0#Asignado#ORANGE ESPAGNE, S.A. UNIPERSONAL#21/01/1999
2-031#1#Asignado#ORANGE ESPAGNE, S.A. UNIPERSONAL#21/01/1999
2-031#3#Asignado#COLT TECHNOLOGY SERVICES, S.A. UNIPERSONAL#28/10/1999
2-031#4#Asignado#TELEFÓNICA INTERNATIONAL WHOLESALE SERVICES, S.L. UNIPERSONAL#17/08/2013
2-031#5#Asignado#TELEFÓNICA INTERNATIONAL WHOLESALE SERVICES, S.L. UNIPERSONAL#17/08/2013
2-031#7#Asignado#BT ESPAÑA COMPAÑÍA DE SERVICIOS GLOBALES DE TELECOMUNICACIONES, S.A. UNIPERSONAL#01/07/2003
2-237#0#Asignado#TELEFÓNICA MÓVILES ESPAÑA, S.A. UNIPERSONAL#15/02/2001
2-237#1#Asignado#TELEFÓNICA MÓVILES ESPAÑA, S.A. UNIPERSONAL#15/02/2001
2-237#2#Asignado#TELEFÓNICA MÓVILES ESPAÑA, S.A. UNIPERSONAL#15/02/2001
2-237#3#Asignado#TELEFÓNICA MÓVILES ESPAÑA, S.A. UNIPERSONAL#15/02/2001
2-237#4#Asignado#ORANGE BUSINESS SPAIN, S.A.#24/01/2002
2-237#5#Asignado#DIGI SPAIN TELECOM, S.L.#10/06/2008
2-237#6#Asignado#XTRA TELECOM, S.A.UNIPERSONAL#21/01/2016
2-237#7#Asignado#ORANGE WEB SERVICES, S.L.#12/09/2003
2-238#0#Asignado#XFERA MÓVILES, S.A. UNIPERSONAL#17/01/2019
2-238#1#Asignado#VODAFONE ESPAÑA, S.A. UNIPERSONAL#19/10/2000
2-238#2#Asignado#XFERA MÓVILES, S.A. UNIPERSONAL#17/01/2019
2-238#3#Asignado#TATA COMMUNICATIONS (SPAIN), S.L.#08/02/2008
2-238#4#Asignado#VODAFONE ONO, S.A. UNIPERSONAL#14/12/2000
2-238#5#Asignado#XFERA MÓVILES, S.A. UNIPERSONAL#28/12/2000
2-238#6#Asignado#XFERA MÓVILES, S.A. UNIPERSONAL#28/12/2000
2-238#7#Asignado#BT ESPAÑA COMPAÑÍA DE SERVICIOS GLOBALES DE TELECOMUNICACIONES, S.A. UNIPERSONAL#13/09/2001
2-239#1#Asignado#ORANGE ESPAGNE, S.A. UNIPERSONAL#15/04/2004
2-239#2#Asignado#ORANGE ESPAGNE, S.A. UNIPERSONAL#15/04/2004
2-239#6#Asignado#VODAFONE ONO, S.A. UNIPERSONAL#27/07/2000
2-239#7#Asignado#VODAFONE ESPAÑA, S.A. UNIPERSONAL#07/09/2000
