10#0#Asignado#TELEFÓNICA DE ESPAÑA, S.A. UNIPERSONAL#28/12/2015
10#1007#Asignado#TELEFÓNICA DE ESPAÑA, S.A. UNIPERSONAL#28/12/2015
10#1008#Asignado#TELEFÓNICA DE ESPAÑA, S.A. UNIPERSONAL#28/12/2015
10#1010#Asignado#TELEFÓNICA DE ESPAÑA, S.A. UNIPERSONAL#28/12/2015
10#1024#Asignado#VODAFONE ONO, S.A. UNIPERSONAL#14/05/1998
10#1025#Asignado#VODAFONE ONO, S.A. UNIPERSONAL#14/05/1998
10#1026#Asignado#R CABLE Y TELECABLE TELECOMUNICACIONES, S.A. UNIPERSONAL#01/08/2019
10#1027#Asignado#VODAFONE ONO, S.A. UNIPERSONAL#30/07/1998
10#1028#Asignado#VODAFONE ONO, S.A. UNIPERSONAL#30/07/1998
10#1029#Asignado#VODAFONE ONO, S.A. UNIPERSONAL#30/07/1998
10#1030#Asignado#ORANGE ESPAGNE, S.A. UNIPERSONAL#30/07/1998
10#1031#Asignado#ORANGE ESPAGNE, S.A. UNIPERSONAL#30/07/1998
10#1032#Asignado#ORANGE ESPAGNE, S.A. UNIPERSONAL#30/07/1998
10#1033#Asignado#VODAFONE ONO, S.A. UNIPERSONAL#30/07/1998
10#1034#Asignado#VODAFONE ONO, S.A. UNIPERSONAL#22/10/1998
10#1035#Asignado#VODAFONE ONO, S.A. UNIPERSONAL#22/10/1998
10#1036#Asignado#R CABLE Y TELECABLE TELECOMUNICACIONES, S.A. UNIPERSONAL#12/11/1998
10#1037#Asignado#R CABLE Y TELECABLE TELECOMUNICACIONES, S.A. UNIPERSONAL#12/11/1998
10#1038#Asignado#VODAFONE ONO, S.A. UNIPERSONAL#12/11/1998
10#1039#Asignado#VODAFONE ONO, S.A. UNIPERSONAL#17/12/1998
10#1040#Asignado#ORANGE ESPAGNE, S.A. UNIPERSONAL#19/11/1998
10#1041#Asignado#ORANGE ESPAGNE, S.A. UNIPERSONAL#19/11/1998
10#1042#Asignado#VODAFONE ONO, S.A. UNIPERSONAL#17/12/1998
10#1043#Asignado#VODAFONE ONO, S.A. UNIPERSONAL#17/12/1998
10#1044#Asignado#VODAFONE ONO, S.A. UNIPERSONAL#14/01/1999
10#1045#Asignado#VODAFONE ESPAÑA, S.A. UNIPERSONAL#18/02/1999
10#1046#Asignado#VODAFONE ESPAÑA, S.A. UNIPERSONAL#18/02/1999
10#1047#Asignado#VODAFONE ESPAÑA, S.A. UNIPERSONAL#18/02/1999
10#1048#Asignado#VODAFONE ONO, S.A. UNIPERSONAL#03/12/1998
10#1049#Asignado#VODAFONE ONO, S.A. UNIPERSONAL#03/12/1998
10#1050#Asignado#VODAFONE ONO, S.A. UNIPERSONAL#03/12/1998
10#1053#Asignado#COLT TECHNOLOGY SERVICES, S.A. UNIPERSONAL#18/02/1999
10#1056#Asignado#ORANGE ESPAGNE, S.A. UNIPERSONAL#10/03/2016
10#1062#Asignado#ORANGE BUSINESS SPAIN, S.A.#27/05/1999
10#1064#Asignado#ORANGE ESPAGNE, S.A. UNIPERSONAL#21/11/2017
10#1066#Asignado#BT ESPAÑA COMPAÑÍA DE SERVICIOS GLOBALES DE TELECOMUNICACIONES, S.A. UNIPERSONAL#04/03/1999
10#1067#Asignado#BT ESPAÑA COMPAÑÍA DE SERVICIOS GLOBALES DE TELECOMUNICACIONES, S.A. UNIPERSONAL#04/03/1999
10#1068#Asignado#BT ESPAÑA COMPAÑÍA DE SERVICIOS GLOBALES DE TELECOMUNICACIONES, S.A. UNIPERSONAL#04/03/1999
