810#030#Madrid#Asignado#XTRA TELECOM, S.A.UNIPERSONAL#02/12/2015
810#031#Madrid#Asignado#XTRA TELECOM, S.A.UNIPERSONAL#02/12/2015
810#032#Madrid#Asignado#XTRA TELECOM, S.A.UNIPERSONAL#02/12/2015
810#033#Madrid#Asignado#XTRA TELECOM, S.A.UNIPERSONAL#02/12/2015
810#034#Madrid#Asignado#XTRA TELECOM, S.A.UNIPERSONAL#02/12/2015
810#035#Madrid#Asignado#XTRA TELECOM, S.A.UNIPERSONAL#02/12/2015
810#036#Madrid#Asignado#XTRA TELECOM, S.A.UNIPERSONAL#02/12/2015
810#037#Madrid#Asignado#XTRA TELECOM, S.A.UNIPERSONAL#02/12/2015
810#038#Madrid#Asignado#XTRA TELECOM, S.A.UNIPERSONAL#02/12/2015
810#039#Madrid#Asignado#XTRA TELECOM, S.A.UNIPERSONAL#02/12/2015
810#040#Madrid#Asignado#VOZTELECOM OIGAA360, S.A.#09/05/2007
810#060##Asignado#LLEIDA NETWORKS SERVEIS TELEMÀTICS, S.A.#28/02/2019
810#081#Madrid#Asignado#ORANGE ESPAGNE, S.A. UNIPERSONAL#10/03/2016
810#082#Madrid#Asignado#ORANGE ESPAGNE, S.A. UNIPERSONAL#10/03/2016
810#083#Madrid#Asignado#ORANGE ESPAGNE, S.A. UNIPERSONAL#10/03/2016
810#084#Madrid#Asignado#ORANGE ESPAGNE, S.A. UNIPERSONAL#10/03/2016
810#085#Madrid#Asignado#ORANGE ESPAGNE, S.A. UNIPERSONAL#10/03/2016
810#086#Madrid#Asignado#ORANGE ESPAGNE, S.A. UNIPERSONAL#10/03/2016
810#087#Madrid#Asignado#ORANGE ESPAGNE, S.A. UNIPERSONAL#10/03/2016
810#088#Madrid#Asignado#ORANGE ESPAGNE, S.A. UNIPERSONAL#10/03/2016
810#089#Madrid#Asignado#ORANGE ESPAGNE, S.A. UNIPERSONAL#10/03/2016
810#090#Madrid#Asignado#ORANGE ESPAGNE, S.A. UNIPERSONAL#10/03/2016
810#100#Madrid#Asignado#OPERADORA DE TELECOMUNICACIONES OPERA, S.L.#16/02/2006
810#101#Madrid#Asignado#TELCOM BUSINESS SOLUTIONS, S.L.#24/04/2007
810#200#Madrid#Asignado#OPERADORA DE TELECOMUNICACIONES OPERA, S.L.#16/02/2006
810#222##Asignado#MASVOZ TELECOMUNICACIONES INTERACTIVAS, S.L. UNIPERSONAL#05/04/2018
810#300#Madrid#Asignado#OPERADORA DE TELECOMUNICACIONES OPERA, S.L.#16/02/2006
810#400#Madrid#Asignado#OPERADORA DE TELECOMUNICACIONES OPERA, S.L.#16/02/2006
810#444#Madrid#Asignado#IDECNET, S.A.#16/02/2006
810#500#Madrid#Asignado#TELEFÓNICA DE ESPAÑA, S.A. UNIPERSONAL#16/02/2006
810#510#Madrid#Asignado#TELEFÓNICA DE ESPAÑA, S.A. UNIPERSONAL#18/07/2019
810#511#Madrid#Asignado#TELEFÓNICA DE ESPAÑA, S.A. UNIPERSONAL#18/07/2019
810#512#Madrid#Asignado#TELEFÓNICA DE ESPAÑA, S.A. UNIPERSONAL#18/07/2019
810#513#Madrid#Asignado#TELEFÓNICA DE ESPAÑA, S.A. UNIPERSONAL#18/07/2019
810#514#Madrid#Asignado#TELEFÓNICA DE ESPAÑA, S.A. UNIPERSONAL#18/07/2019
810#515#Madrid#Asignado#TELEFÓNICA DE ESPAÑA, S.A. UNIPERSONAL#18/07/2019
810#516#Madrid#Asignado#TELEFÓNICA DE ESPAÑA, S.A. UNIPERSONAL#18/07/2019
810#520#Madrid#Asignado#TELEFÓNICA DE ESPAÑA, S.A. UNIPERSONAL#16/02/2006
810#521#Madrid#Asignado#TELEFÓNICA DE ESPAÑA, S.A. UNIPERSONAL#16/02/2006
810#522#Madrid#Asignado#TELEFÓNICA DE ESPAÑA, S.A. UNIPERSONAL#16/02/2006
810#523#Madrid#Asignado#TELEFÓNICA DE ESPAÑA, S.A. UNIPERSONAL#16/02/2006
810#524#Madrid#Asignado#TELEFÓNICA DE ESPAÑA, S.A. UNIPERSONAL#16/02/2006
