511#000#OPERADORA DE TELECOMUNICACIONES OPERA, S.L.#16/02/2006#Asignado
511#100#OPERADORA DE TELECOMUNICACIONES OPERA, S.L.#16/02/2006#Asignado
511#111#ADVANCED VOICE, S.L.#16/12/2016#Asignado
511#115#LLEIDA NETWORKS SERVEIS TELEMÀTICS, S.A.#28/02/2019#Asignado
511#120#VODAFONE ESPAÑA, S.A. UNIPERSONAL#29/04/2008#Asignado
511#121#VODAFONE ESPAÑA, S.A. UNIPERSONAL#29/04/2008#Asignado
511#122#VODAFONE ESPAÑA, S.A. UNIPERSONAL#29/04/2008#Asignado
511#123#VODAFONE ESPAÑA, S.A. UNIPERSONAL#29/04/2008#Asignado
511#124#VODAFONE ESPAÑA, S.A. UNIPERSONAL#29/04/2008#Asignado
511#125#VODAFONE ESPAÑA, S.A. UNIPERSONAL#29/04/2008#Asignado
511#126#VODAFONE ESPAÑA, S.A. UNIPERSONAL#29/04/2008#Asignado
511#127#VODAFONE ESPAÑA, S.A. UNIPERSONAL#29/04/2008#Asignado
511#128#VODAFONE ESPAÑA, S.A. UNIPERSONAL#29/04/2008#Asignado
511#129#VODAFONE ESPAÑA, S.A. UNIPERSONAL#29/04/2008#Asignado
511#130#VODAFONE ESPAÑA, S.A. UNIPERSONAL#29/04/2008#Asignado
511#131#VODAFONE ESPAÑA, S.A. UNIPERSONAL#29/04/2008#Asignado
511#132#VODAFONE ESPAÑA, S.A. UNIPERSONAL#29/04/2008#Asignado
511#133#VODAFONE ESPAÑA, S.A. UNIPERSONAL#29/04/2008#Asignado
511#134#VODAFONE ESPAÑA, S.A. UNIPERSONAL#29/04/2008#Asignado
511#135#VODAFONE ESPAÑA, S.A. UNIPERSONAL#29/04/2008#Asignado
511#136#VODAFONE ESPAÑA, S.A. UNIPERSONAL#29/04/2008#Asignado
511#137#VODAFONE ESPAÑA, S.A. UNIPERSONAL#29/04/2008#Asignado
511#138#VODAFONE ESPAÑA, S.A. UNIPERSONAL#29/04/2008#Asignado
511#139#VODAFONE ESPAÑA, S.A. UNIPERSONAL#29/04/2008#Asignado
511#140#VODAFONE ESPAÑA, S.A. UNIPERSONAL#29/04/2008#Asignado
511#141#VODAFONE ESPAÑA, S.A. UNIPERSONAL#29/04/2008#Asignado
511#142#VODAFONE ESPAÑA, S.A. UNIPERSONAL#29/04/2008#Asignado
511#143#VODAFONE ESPAÑA, S.A. UNIPERSONAL#29/04/2008#Asignado
511#144#VODAFONE ESPAÑA, S.A. UNIPERSONAL#29/04/2008#Asignado
511#145#COMPATEL LIMITED#20/02/2013#Asignado
511#200#OPERADORA DE TELECOMUNICACIONES OPERA, S.L.#16/02/2006#Asignado
511#300#OPERADORA DE TELECOMUNICACIONES OPERA, S.L.#16/02/2006#Asignado
511#444#IDECNET, S.A.#16/02/2006#Asignado
511#450#G9 TELECOM, S.A.#18/05/2016#Asignado
511#451#G9 TELECOM, S.A.#18/05/2016#Asignado
511#500#ORANGE ESPAGNE, S.A. UNIPERSONAL#22/10/2008#Asignado
511#501#ORANGE ESPAGNE, S.A. UNIPERSONAL#22/10/2008#Asignado
511#502#ORANGE ESPAGNE, S.A. UNIPERSONAL#22/10/2008#Asignado
511#503#ORANGE ESPAGNE, S.A. UNIPERSONAL#22/10/2008#Asignado
511#504#ORANGE ESPAGNE, S.A. UNIPERSONAL#22/10/2008#Asignado
511#505#ORANGE ESPAGNE, S.A. UNIPERSONAL#22/10/2008#Asignado
511#506#ORANGE ESPAGNE, S.A. UNIPERSONAL#22/10/2008#Asignado
511#507#ORANGE ESPAGNE, S.A. UNIPERSONAL#22/10/2008#Asignado
511#508#ORANGE ESPAGNE, S.A. UNIPERSONAL#22/10/2008#Asignado
511#509#ORANGE ESPAGNE, S.A. UNIPERSONAL#22/10/2008#Asignado
511#520#ORANGE ESPAGNE, S.A. UNIPERSONAL#22/10/2008#Asignado
511#521#ORANGE ESPAGNE, S.A. UNIPERSONAL#22/10/2008#Asignado
511#522#ORANGE ESPAGNE, S.A. UNIPERSONAL#22/10/2008#Asignado
511#523#ORANGE ESPAGNE, S.A. UNIPERSONAL#22/10/2008#Asignado
511#524#ORANGE ESPAGNE, S.A. UNIPERSONAL#22/10/2008#Asignado
511#525#ORANGE ESPAGNE, S.A. UNIPERSONAL#22/10/2008#Asignado
511#526#ORANGE ESPAGNE, S.A. UNIPERSONAL#22/10/2008#Asignado
511#527#ORANGE ESPAGNE, S.A. UNIPERSONAL#22/10/2008#Asignado
511#528#ORANGE ESPAGNE, S.A. UNIPERSONAL#22/10/2008#Asignado
511#529#ORANGE ESPAGNE, S.A. UNIPERSONAL#22/10/2008#Asignado
511#530#ORANGE ESPAGNE, S.A. UNIPERSONAL#22/10/2008#Asignado
511#531#ORANGE ESPAGNE, S.A. UNIPERSONAL#22/10/2008#Asignado
511#532#ORANGE ESPAGNE, S.A. UNIPERSONAL#22/10/2008#Asignado
